"file","name","variant","profile","duration","steps","cfg","sampler","seed","elapsedSec","status","prompt","negative","error"
"art_direction\audio-upgrade\source\small-sfx\land_01.wav","land_01","small-sfx","sfx","0.8","12","1.0","pingpong","384767947","0.69","ok","A pair of heavy boots landing firmly on concrete after a jump, low thud and short cloth rustle, close dry recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\enemy_idle_03.wav","enemy_idle_03","small-sfx","sfx","1.6","12","1.0","pingpong","1348045078","0.71","ok","A hostile creature exhaling a low ragged growl, rough animal chest resonance, short restrained vocalization, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\city_air_02.wav","city_air_02","small-sfx","sfx","8.0","12","1.0","pingpong","1792193803","0.66","ok","Wind gusts moving through an abandoned city street, soft airy turbulence gently swelling and falling, distant loose metal lightly rattling, continuous outdoor atmosphere","music, melody, speech, traffic, gunfire, footsteps, loud impacts, silence",""
"art_direction\audio-upgrade\source\small-sfx\last_round_01.wav","last_round_01","small-sfx","sfx","0.5","12","1.0","pingpong","1593423971","0.6","ok","A single tiny metallic warning tick with a short high pitched resonance, compact futuristic weapon feedback","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\pickup_med_01.wav","pickup_med_01","small-sfx","sfx","0.9","12","1.0","pingpong","1591619511","0.65","ok","A brief warm clean ascending two note glass chime, small gentle confirmation sound, dry close perspective","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\pickup_buff_01.wav","pickup_buff_01","small-sfx","sfx","0.9","12","1.0","pingpong","1737908253","0.69","ok","A brief bright ascending crystalline shimmer, compact reward confirmation sound, dry close perspective","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\levelup_01.wav","levelup_01","small-sfx","sfx","1.4","12","1.0","pingpong","1837700245","0.67","ok","A short confident rising three note metallic glass chime, warm low pulse underneath, game progression confirmation","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\mutation_02.wav","mutation_02","small-sfx","sfx","2.0","12","1.0","pingpong","1638899459","0.57","ok","A short organic transformation stinger, tense low resonant swell opening into a bright strange crystalline accent, tactile biological energy","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\victory_03.wav","victory_03","small-sfx","sfx","3.0","12","1.0","pingpong","813593007","0.67","ok","A short resolving triumphant brass and glass musical sting, strong opening and warm rising final resolution, polished game success cue","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\defeat_01.wav","defeat_01","small-sfx","sfx","3.0","12","1.0","pingpong","874228838","0.66","ok","A short dark descending low cello and metal musical sting, heavy opening and quiet final resolution, polished game defeat cue","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\boss_02.wav","boss_02","small-sfx","sfx","2.5","12","1.0","pingpong","1868254197","0.78","ok","A massive creature making one deep threatening roar with a low ominous metallic resonance, powerful immediate attack and natural decay","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\incoming_02.wav","incoming_02","small-sfx","sfx","0.8","12","1.0","pingpong","1301338427","0.67","ok","A short focused two pulse low warning tone with a rising metallic edge, clear urgent directional danger cue","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\airdrop_01.wav","airdrop_01","small-sfx","sfx","1.3","12","1.0","pingpong","558956082","0.66","ok","A brief distant radio beacon chirp followed by a descending airy whistle, compact supply arrival signal","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\derived_02.wav","derived_02","small-sfx","sfx","0.5","12","1.0","pingpong","219347116","0.69","ok","A tiny sharp elastic energy flick with a brief glassy spark, compact futuristic projectile ricochet cue","speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\bolt_v2_01.wav","bolt_v2_01","small-sfx","sfx","1.0","12","1.0","pingpong","592478387","1.25","ok","Immediate sharp rifle bolt snap, steel spring action clacking then sliding to rest, decisive compact mechanical transient, dry close microphone","music, melody, speech, background hum, distortion, silence, fade in, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\dash_v2_06.wav","dash_v2_06","small-sfx","sfx","1.0","12","1.0","pingpong","739898519","0.68","ok","Immediate sharp cloth snap opening into a fast rushing air whoosh, short sudden forceful movement, dry close microphone","music, melody, speech, background hum, distortion, silence, fade in, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\mag_in_v2_04.wav","mag_in_v2_04","small-sfx","sfx","1.0","12","1.0","pingpong","1170051041","0.6","ok","Immediate solid clack of a rifle magazine locking into a steel receiver, one strong compact mechanical impact with a small rattle decay, dry close microphone","music, melody, speech, background hum, distortion, silence, fade in, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\shield_break_v2_01.wav","shield_break_v2_01","small-sfx","sfx","1.0","12","1.0","pingpong","588519349","0.65","ok","Immediate sharp glass shattering impact, tiny crystal fragments scattering with a short descending electrical decay, compact shield breaking sound, dry close microphone","music, melody, speech, background hum, distortion, silence, fade in, repeated actions",""
